Rok;M-c;Wskaznik
2000;1;105,4
2000;2;102
2000;3;100,2
2000;4;98,3
2000;5;98,3
2000;6;99,7
2000;7;101,6
2000;8;100,8
2000;9;101,3
2000;10;100,7
2000;11;102,6
2000;12;103,4
2001;1;104,9
2001;2;101,5
2001;3;100,8
2001;4;99,3
2001;5;98,7
2001;6;100,3
2001;7;100,8
2001;8;100,7
2001;9;101
2001;10;100,8
2001;11;102,7
2001;12;103,1
2002;1;104,4
2002;2;100,8
2002;3;99,5
2002;4;98,3
2002;5;95,7
2002;6;100,9
2002;7;100,5
2002;8;100
2002;9;100,2
2002;10;99,9
2002;11;101,4
2002;12;102,1
2003;1;103,2
2003;2;100,7
2003;3;99,3
2003;4;97,7
2003;5;97,3
2003;6;99,2
2003;7;99,6
2003;8;99,2
2003;9;99,2
2003;10;99,5
2003;11;101,3
2003;12;102,5
2004;1;103,7
2004;2;100
2004;3;99,1
2004;4;97,2
2004;5;97,4
2004;6;99,3
2004;7;99,1
2004;8;98,8
2004;9;98,8
2004;10;98,9
2004;11;100,1
2004;12;101,9
2005;1;103,2
2005;2;100
2005;3;98,6
2005;4;96,9
2005;5;96,9
2005;6;98,6
2005;7;99,3
2005;8;99,1
2005;9;99,2
2005;10;98,3
2005;11;100,4
2005;12;101,8
2006;1;103,4
2006;2;100
2006;3;98,5
2006;4;95,8
2006;5;95,5
2006;6;96,3
2006;7;98,2
2006;8;98,7
2006;9;98
2006;10;97,4
2006;11;99,4
2006;12;101
2007;1;102,4
2007;2;98,5
2007;3;95,8
2007;4;94,2
2007;5;94,4
2007;6;95,5
2007;7;97,9
2007;8;98,2
2007;9;97,6
2007;10;96,8
2007;11;99,9
2007;12;101,6
2008;1;103,8
2008;2;98,1
2008;3;95,7
2008;4;94,3
2008;5;95
2008;6;95,4
2008;7;97,8
2008;8;98,7
2008;9;98
2008;10;98,2
2008;11;103,4
2008;12;105,4
2009;1;110,9
2009;2;105,2
2009;3;102,3
2009;4;97,8
2009;5;97,9
2009;6;98,5
2009;7;101,1
2009;8;100,8
2009;9;101,6
2009;10;101,7
2009;11;103,8
2009;12;104,5
2010;1;108,4
2010;2;102,4
2010;3;98,8
2010;4;95
2010;5;96,7
2010;6;96,6
2010;7;98,3
2010;8;99,3
2010;9;100,7
2010;10;100,3
2010;11;102,2
2010;12;105,2
2011;1;107,7
2011;2;102,1
2011;3;99,2
2011;4;95,8
2011;5;96
2011;6;96
2011;7;98,9
2011;8;99,6
2011;9;100,3
2011;10;100,3
2011;11;102,5
2011;12;103,5
2012;1;107
2012;2;102,2
2012;3;98,8
2012;4;96,8
2012;5;97,2
2012;6;97,5
2012;7;99,4
2012;8;100,6
2012;9;100,7
2012;10;100,8
2012;11;103,2
2012;12;103,8
2013;1;107,4
2013;2;101,8
2013;3;99
2013;4;97,5
2013;5;96,5
2013;6;96,9
2013;7;99,2
2013;8;99,5
2013;9;100
2013;10;99,6
2013;11;102
2013;12;102
2014;1;104,8
2014;2;99,8
2014;3;96,7
2014;4;95,3
2014;5;95,6
2014;6;96,3
2014;7;98,2
2014;8;98,7
2014;9;98,3
2014;10;98
2014;11;100,8
2014;12;101,4
2015;1;105,1
2015;2;100
2015;3;97
2015;4;95,8
2015;5;95,5
2015;6;95,3
2015;7;97,7
2015;8;98,6
2015;9;98,5
2015;10;98,5
2015;11;100,9
2015;12;102,1
2016;1;105,4
2016;2;100,3
2016;3;96,8
2016;4;95,1
2016;5;95,7
2016;6;95,6
2016;7;97,8
2016;8;98,9
2016;9;98,3
2016;10;98,8
2016;11;100,4
2016;12;101,6
2017;1;104,6
2017;2;99
2017;3;95,7
2017;4;94,6
2017;5;96
2017;6;95,8
2017;7;99
2017;8;99,7
2017;9;98,3
2017;10;95,7
2017;11;99,8
2017;12;101,3
2018;1;104,8
2018;2;99,4
2018;3;96,9
2018;4;95,5
2018;5;96,1
2018;6;96,6
2018;7;99,4
2018;8;99,7
2018;9;98,8
2018;10;98,9
2018;11;101,4
2018;12;101,9
2019;1;105,6
2019;2;99,4
2019;3;96,9
2019;4;95,3
2019;5;96,6
2019;6;96,8
2019;7;99
2019;8;99,7
2019;9;98,3
2019;10;98,8
2019;11;101,1
2019;12;102
2020;1;106,4
2020;2;99,7
2020;3;98,9
2020;4;106,2
2020;5;104,8
2020;6;101,5
2020;7;100,3
2020;8;99,8
2020;9;99,6
2020;10;99,5
2020;11;100,7
2020;12;102
2021;1;104,2
2021;2;100,8
2021;3;98,1
2021;4;97,7
2021;5;97,4
2021;6;96,8
2021;7;98,1
2021;8;98,6
2021;9;97,3
2021;10;97,5
2021;11;98,7
2021;12;99,6
